,Calendar_Date,DayOfWeek,Week,Quarter,Month,Year,Year_half,Summer,Autumn,Winter,Spring,is_weekday,Description,is_holiday
128,2014-05-09,5,19,2,5,2014,1,0,1,0,0,1,,0
129,2014-05-10,6,19,2,5,2014,1,0,1,0,0,0,,0
130,2014-05-11,7,19,2,5,2014,1,0,1,0,0,0,,0
131,2014-05-12,1,20,2,5,2014,1,0,1,0,0,1,,0
132,2014-05-13,2,20,2,5,2014,1,0,1,0,0,1,,0
133,2014-05-14,3,20,2,5,2014,1,0,1,0,0,1,,0
134,2014-05-15,4,20,2,5,2014,1,0,1,0,0,1,,0
135,2014-05-16,5,20,2,5,2014,1,0,1,0,0,1,,0
136,2014-05-17,6,20,2,5,2014,1,0,1,0,0,0,,0
137,2014-05-18,7,20,2,5,2014,1,0,1,0,0,0,,0
138,2014-05-19,1,21,2,5,2014,1,0,1,0,0,1,,0
139,2014-05-20,2,21,2,5,2014,1,0,1,0,0,1,,0
140,2014-05-21,3,21,2,5,2014,1,0,1,0,0,1,,0
141,2014-05-22,4,21,2,5,2014,1,0,1,0,0,1,,0
142,2014-05-23,5,21,2,5,2014,1,0,1,0,0,1,,0
143,2014-05-24,6,21,2,5,2014,1,0,1,0,0,0,,0
144,2014-05-25,7,21,2,5,2014,1,0,1,0,0,0,,0
145,2014-05-26,1,22,2,5,2014,1,0,1,0,0,1,,0
146,2014-05-27,2,22,2,5,2014,1,0,1,0,0,1,,0
147,2014-05-28,3,22,2,5,2014,1,0,1,0,0,1,,0
148,2014-05-29,4,22,2,5,2014,1,0,1,0,0,1,,0
149,2014-05-30,5,22,2,5,2014,1,0,1,0,0,1,,0
150,2014-05-31,6,22,2,5,2014,1,0,1,0,0,0,,0
151,2014-06-01,7,22,2,6,2014,1,0,0,1,0,0,,0
152,2014-06-02,1,23,2,6,2014,1,0,0,1,0,1,,0
153,2014-06-03,2,23,2,6,2014,1,0,0,1,0,1,,0
154,2014-06-04,3,23,2,6,2014,1,0,0,1,0,1,,0
155,2014-06-05,4,23,2,6,2014,1,0,0,1,0,1,,0
156,2014-06-06,5,23,2,6,2014,1,0,0,1,0,1,,0
157,2014-06-07,6,23,2,6,2014,1,0,0,1,0,0,,0
158,2014-06-08,7,23,2,6,2014,1,0,0,1,0,0,,0
159,2014-06-09,1,24,2,6,2014,1,0,0,1,0,1,Queen's Birthday,1
160,2014-06-10,2,24,2,6,2014,1,0,0,1,0,1,,0
161,2014-06-11,3,24,2,6,2014,1,0,0,1,0,1,,0
162,2014-06-12,4,24,2,6,2014,1,0,0,1,0,1,,0
163,2014-06-13,5,24,2,6,2014,1,0,0,1,0,1,,0
164,2014-06-14,6,24,2,6,2014,1,0,0,1,0,0,,0
165,2014-06-15,7,24,2,6,2014,1,0,0,1,0,0,,0
166,2014-06-16,1,25,2,6,2014,1,0,0,1,0,1,,0
167,2014-06-17,2,25,2,6,2014,1,0,0,1,0,1,,0
168,2014-06-18,3,25,2,6,2014,1,0,0,1,0,1,,0
169,2014-06-19,4,25,2,6,2014,1,0,0,1,0,1,,0
170,2014-06-20,5,25,2,6,2014,1,0,0,1,0,1,,0
171,2014-06-21,6,25,2,6,2014,1,0,0,1,0,0,,0
172,2014-06-22,7,25,2,6,2014,1,0,0,1,0,0,,0
173,2014-06-23,1,26,2,6,2014,1,0,0,1,0,1,,0
174,2014-06-24,2,26,2,6,2014,1,0,0,1,0,1,,0
175,2014-06-25,3,26,2,6,2014,1,0,0,1,0,1,,0
176,2014-06-26,4,26,2,6,2014,1,0,0,1,0,1,,0
177,2014-06-27,5,26,2,6,2014,1,0,0,1,0,1,,0
178,2014-06-28,6,26,2,6,2014,1,0,0,1,0,0,,0
179,2014-06-29,7,26,2,6,2014,1,0,0,1,0,0,,0
180,2014-06-30,1,27,2,6,2014,1,0,0,1,0,1,,0
181,2014-07-01,2,27,3,7,2014,2,0,0,1,0,1,,0
182,2014-07-02,3,27,3,7,2014,2,0,0,1,0,1,,0
183,2014-07-03,4,27,3,7,2014,2,0,0,1,0,1,,0
184,2014-07-04,5,27,3,7,2014,2,0,0,1,0,1,,0
185,2014-07-05,6,27,3,7,2014,2,0,0,1,0,0,,0
186,2014-07-06,7,27,3,7,2014,2,0,0,1,0,0,,0
187,2014-07-07,1,28,3,7,2014,2,0,0,1,0,1,,0
188,2014-07-08,2,28,3,7,2014,2,0,0,1,0,1,,0
189,2014-07-09,3,28,3,7,2014,2,0,0,1,0,1,,0
190,2014-07-10,4,28,3,7,2014,2,0,0,1,0,1,,0
191,2014-07-11,5,28,3,7,2014,2,0,0,1,0,1,,0
192,2014-07-12,6,28,3,7,2014,2,0,0,1,0,0,,0
193,2014-07-13,7,28,3,7,2014,2,0,0,1,0,0,,0
194,2014-07-14,1,29,3,7,2014,2,0,0,1,0,1,,0
195,2014-07-15,2,29,3,7,2014,2,0,0,1,0,1,,0
196,2014-07-16,3,29,3,7,2014,2,0,0,1,0,1,,0
197,2014-07-17,4,29,3,7,2014,2,0,0,1,0,1,,0
198,2014-07-18,5,29,3,7,2014,2,0,0,1,0,1,,0
199,2014-07-19,6,29,3,7,2014,2,0,0,1,0,0,,0
200,2014-07-20,7,29,3,7,2014,2,0,0,1,0,0,,0
201,2014-07-21,1,30,3,7,2014,2,0,0,1,0,1,,0
202,2014-07-22,2,30,3,7,2014,2,0,0,1,0,1,,0
203,2014-07-23,3,30,3,7,2014,2,0,0,1,0,1,,0
204,2014-07-24,4,30,3,7,2014,2,0,0,1,0,1,,0
205,2014-07-25,5,30,3,7,2014,2,0,0,1,0,1,,0
206,2014-07-26,6,30,3,7,2014,2,0,0,1,0,0,,0
207,2014-07-27,7,30,3,7,2014,2,0,0,1,0,0,,0
208,2014-07-28,1,31,3,7,2014,2,0,0,1,0,1,,0
209,2014-07-29,2,31,3,7,2014,2,0,0,1,0,1,,0
210,2014-07-30,3,31,3,7,2014,2,0,0,1,0,1,,0
211,2014-07-31,4,31,3,7,2014,2,0,0,1,0,1,,0
212,2014-08-01,5,31,3,8,2014,2,0,0,1,0,1,,0
213,2014-08-02,6,31,3,8,2014,2,0,0,1,0,0,,0
214,2014-08-03,7,31,3,8,2014,2,0,0,1,0,0,,0
215,2014-08-04,1,32,3,8,2014,2,0,0,1,0,1,,0
216,2014-08-05,2,32,3,8,2014,2,0,0,1,0,1,,0
217,2014-08-06,3,32,3,8,2014,2,0,0,1,0,1,,0
218,2014-08-07,4,32,3,8,2014,2,0,0,1,0,1,,0
219,2014-08-08,5,32,3,8,2014,2,0,0,1,0,1,,0
220,2014-08-09,6,32,3,8,2014,2,0,0,1,0,0,,0
221,2014-08-10,7,32,3,8,2014,2,0,0,1,0,0,,0
222,2014-08-11,1,33,3,8,2014,2,0,0,1,0,1,,0
223,2014-08-12,2,33,3,8,2014,2,0,0,1,0,1,,0
224,2014-08-13,3,33,3,8,2014,2,0,0,1,0,1,,0
225,2014-08-14,4,33,3,8,2014,2,0,0,1,0,1,,0
226,2014-08-15,5,33,3,8,2014,2,0,0,1,0,1,,0
227,2014-08-16,6,33,3,8,2014,2,0,0,1,0,0,,0
228,2014-08-17,7,33,3,8,2014,2,0,0,1,0,0,,0
229,2014-08-18,1,34,3,8,2014,2,0,0,1,0,1,,0
230,2014-08-19,2,34,3,8,2014,2,0,0,1,0,1,,0
231,2014-08-20,3,34,3,8,2014,2,0,0,1,0,1,,0
232,2014-08-21,4,34,3,8,2014,2,0,0,1,0,1,,0
233,2014-08-22,5,34,3,8,2014,2,0,0,1,0,1,,0
234,2014-08-23,6,34,3,8,2014,2,0,0,1,0,0,,0
235,2014-08-24,7,34,3,8,2014,2,0,0,1,0,0,,0
236,2014-08-25,1,35,3,8,2014,2,0,0,1,0,1,,0
237,2014-08-26,2,35,3,8,2014,2,0,0,1,0,1,,0
238,2014-08-27,3,35,3,8,2014,2,0,0,1,0,1,,0
239,2014-08-28,4,35,3,8,2014,2,0,0,1,0,1,,0
240,2014-08-29,5,35,3,8,2014,2,0,0,1,0,1,,0
241,2014-08-30,6,35,3,8,2014,2,0,0,1,0,0,,0
242,2014-08-31,7,35,3,8,2014,2,0,0,1,0,0,,0
243,2014-09-01,1,36,3,9,2014,2,0,0,0,1,1,,0
244,2014-09-02,2,36,3,9,2014,2,0,0,0,1,1,,0
245,2014-09-03,3,36,3,9,2014,2,0,0,0,1,1,,0
246,2014-09-04,4,36,3,9,2014,2,0,0,0,1,1,,0
247,2014-09-05,5,36,3,9,2014,2,0,0,0,1,1,,0
248,2014-09-06,6,36,3,9,2014,2,0,0,0,1,0,,0
249,2014-09-07,7,36,3,9,2014,2,0,0,0,1,0,,0
250,2014-09-08,1,37,3,9,2014,2,0,0,0,1,1,,0
251,2014-09-09,2,37,3,9,2014,2,0,0,0,1,1,,0
252,2014-09-10,3,37,3,9,2014,2,0,0,0,1,1,,0
253,2014-09-11,4,37,3,9,2014,2,0,0,0,1,1,,0
254,2014-09-12,5,37,3,9,2014,2,0,0,0,1,1,,0
255,2014-09-13,6,37,3,9,2014,2,0,0,0,1,0,,0
256,2014-09-14,7,37,3,9,2014,2,0,0,0,1,0,,0
257,2014-09-15,1,38,3,9,2014,2,0,0,0,1,1,,0
258,2014-09-16,2,38,3,9,2014,2,0,0,0,1,1,,0
259,2014-09-17,3,38,3,9,2014,2,0,0,0,1,1,,0
260,2014-09-18,4,38,3,9,2014,2,0,0,0,1,1,,0
261,2014-09-19,5,38,3,9,2014,2,0,0,0,1,1,,0
262,2014-09-20,6,38,3,9,2014,2,0,0,0,1,0,,0
263,2014-09-21,7,38,3,9,2014,2,0,0,0,1,0,,0
264,2014-09-22,1,39,3,9,2014,2,0,0,0,1,1,,0
265,2014-09-23,2,39,3,9,2014,2,0,0,0,1,1,,0
266,2014-09-24,3,39,3,9,2014,2,0,0,0,1,1,,0
267,2014-09-25,4,39,3,9,2014,2,0,0,0,1,1,,0
268,2014-09-26,5,39,3,9,2014,2,0,0,0,1,1,,0
269,2014-09-27,6,39,3,9,2014,2,0,0,0,1,0,,0
270,2014-09-28,7,39,3,9,2014,2,0,0,0,1,0,,0
271,2014-09-29,1,40,3,9,2014,2,0,0,0,1,1,,0
272,2014-09-30,2,40,3,9,2014,2,0,0,0,1,1,,0
273,2014-10-01,3,40,4,10,2014,2,0,0,0,1,1,,0
274,2014-10-02,4,40,4,10,2014,2,0,0,0,1,1,,0
275,2014-10-03,5,40,4,10,2014,2,0,0,0,1,1,,0
276,2014-10-04,6,40,4,10,2014,2,0,0,0,1,0,,0
277,2014-10-05,7,40,4,10,2014,2,0,0,0,1,0,,0
278,2014-10-06,1,41,4,10,2014,2,0,0,0,1,1,Labour Day,1
279,2014-10-07,2,41,4,10,2014,2,0,0,0,1,1,,0
280,2014-10-08,3,41,4,10,2014,2,0,0,0,1,1,,0
281,2014-10-09,4,41,4,10,2014,2,0,0,0,1,1,,0
282,2014-10-10,5,41,4,10,2014,2,0,0,0,1,1,,0
283,2014-10-11,6,41,4,10,2014,2,0,0,0,1,0,,0
284,2014-10-12,7,41,4,10,2014,2,0,0,0,1,0,,0
285,2014-10-13,1,42,4,10,2014,2,0,0,0,1,1,,0
286,2014-10-14,2,42,4,10,2014,2,0,0,0,1,1,,0
287,2014-10-15,3,42,4,10,2014,2,0,0,0,1,1,,0
288,2014-10-16,4,42,4,10,2014,2,0,0,0,1,1,,0
289,2014-10-17,5,42,4,10,2014,2,0,0,0,1,1,,0
290,2014-10-18,6,42,4,10,2014,2,0,0,0,1,0,,0
291,2014-10-19,7,42,4,10,2014,2,0,0,0,1,0,,0
292,2014-10-20,1,43,4,10,2014,2,0,0,0,1,1,,0
293,2014-10-21,2,43,4,10,2014,2,0,0,0,1,1,,0
294,2014-10-22,3,43,4,10,2014,2,0,0,0,1,1,,0
295,2014-10-23,4,43,4,10,2014,2,0,0,0,1,1,,0
296,2014-10-24,5,43,4,10,2014,2,0,0,0,1,1,,0
297,2014-10-25,6,43,4,10,2014,2,0,0,0,1,0,,0
298,2014-10-26,7,43,4,10,2014,2,0,0,0,1,0,,0
299,2014-10-27,1,44,4,10,2014,2,0,0,0,1,1,,0
300,2014-10-28,2,44,4,10,2014,2,0,0,0,1,1,,0
301,2014-10-29,3,44,4,10,2014,2,0,0,0,1,1,,0
302,2014-10-30,4,44,4,10,2014,2,0,0,0,1,1,,0
303,2014-10-31,5,44,4,10,2014,2,0,0,0,1,1,,0
